device_id,date,city,timestamp,longitude,latitude,duration_hours
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dar es Salaam,2025-10-07 04:12:59+03:00,39.2686005,-6.8134999,9.393611111111111
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dar es Salaam,2025-10-07 04:12:50+03:00,39.2686132,-6.8134033,9.393611111111111
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 13:33:04+03:00,35.7355,-6.17497,9.393611111111111
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 13:34:22+03:00,35.73541,-6.17496,9.393611111111111
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 13:34:59+03:00,35.7355995,-6.1749001,9.393611111111111
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 07:47:13+03:00,35.7355258,-6.1749746,9.393611111111111
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 13:34:18+03:00,35.73542,-6.1749,9.393611111111111
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 07:47:15+03:00,35.7356,-6.17488,9.393611111111111
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 07:48:20+03:00,35.73554,-6.1749,9.393611111111111
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 13:35:16+03:00,35.7356,-6.17496,9.393611111111111
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 13:34:56+03:00,35.7355541,-6.1749177,9.393611111111111
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 13:34:52+03:00,35.73551,-6.17492,9.393611111111111
FFB268F4-4962-40F3-B01A-AD98A08F9723,2025-10-07,Dodoma,2025-10-07 07:46:48+03:00,35.73553,-6.17492,9.393611111111111
