device_id,date,city,timestamp,longitude,latitude
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:30:54+03:00,35.75331,-6.18012
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:31:51+03:00,35.7533,-6.18018
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:30:39+03:00,35.7533,-6.1801
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:30:08+03:00,35.75337,-6.18015
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:30:52+03:00,35.75336,-6.18016
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:30:01+03:00,35.75335,-6.18017
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:30:36+03:00,35.75331,-6.1801
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:30:09+03:00,35.75334,-6.1801
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:30:57+03:00,35.75334,-6.18011
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:30:56+03:00,35.75338,-6.18018
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:30:51+03:00,35.7533,-6.1801
26a066f2-52d8-45f8-8ace-5a97c7921b9a,2025-10-04,Dodoma,2025-10-04 07:30:04+03:00,35.75335,-6.18016
1cf84a03-d16e-4f2a-8f03-4a4f75895ba6,2025-10-06,Dar es Salaam,2025-10-06 13:21:37+03:00,39.27995,-6.82
1cf84a03-d16e-4f2a-8f03-4a4f75895ba6,2025-10-06,Dar es Salaam,2025-10-06 13:21:38+03:00,39.2799,-6.82
1cf84a03-d16e-4f2a-8f03-4a4f75895ba6,2025-10-06,Dar es Salaam,2025-10-06 13:21:47+03:00,39.2799,-6.82
1cf84a03-d16e-4f2a-8f03-4a4f75895ba6,2025-10-06,Dodoma,2025-10-06 13:17:32+03:00,35.7500746,-6.160568
1cf84a03-d16e-4f2a-8f03-4a4f75895ba6,2025-10-06,Dodoma,2025-10-06 15:45:35+03:00,35.7500722,-6.1605747
1cf84a03-d16e-4f2a-8f03-4a4f75895ba6,2025-10-06,Dodoma,2025-10-06 14:09:09+03:00,35.7500544,-6.1605155
1cf84a03-d16e-4f2a-8f03-4a4f75895ba6,2025-10-06,Dodoma,2025-10-06 06:58:41+03:00,35.7500847,-6.1605368
0fa46637-ead3-4896-84dd-b20c46ab1601,2025-10-01,Dar es Salaam,2025-10-01 20:14:03+03:00,39.28468,-6.79638
0fa46637-ead3-4896-84dd-b20c46ab1601,2025-10-01,Dar es Salaam,2025-10-01 20:14:29+03:00,39.28471,-6.79631
0fa46637-ead3-4896-84dd-b20c46ab1601,2025-10-01,Dar es Salaam,2025-10-01 20:15:58+03:00,39.2847,-6.7963
0fa46637-ead3-4896-84dd-b20c46ab1601,2025-10-01,Dar es Salaam,2025-10-01 20:17:01+03:00,39.2847,-6.7963
0fa46637-ead3-4896-84dd-b20c46ab1601,2025-10-01,Dar es Salaam,2025-10-01 20:15:56+03:00,39.2847,-6.7963
